"id","hist_id","operation","snapshot","operator","created"
"1","1","create","{""version"": ""0000"", ""name"": ""init"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [], ""checksum"": ""8f806e730fa5ce5ec9b7a91fe8807ad1f9387d9f""}","","2025-10-08 02:02:19"
"2","1","update_succ","{""version"": ""0000"", ""name"": ""init"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [], ""checksum"": ""8f806e730fa5ce5ec9b7a91fe8807ad1f9387d9f""}","","2025-10-08 02:02:19"
"3","2","create","{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""9e141cec6abc314a1add78bd860948cf3877f93d""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""83e66978fdb5629b9923877854817abbe4fd9915""}","","2025-10-08 02:04:45"
"4","2","update_succ","{""version"": ""0001"", ""name"": ""add_address_to_user_tab"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""9e141cec6abc314a1add78bd860948cf3877f93d""}, ""backward"": {""id"": ""f22e897abb0b7c91896d24982e546055d03a3c3e""}}, ""dependencies"": [{""version"": ""0000"", ""name"": ""init""}], ""checksum"": ""83e66978fdb5629b9923877854817abbe4fd9915"", ""fake"": true}","","2025-10-08 02:19:05"
"5","3","create","{""version"": ""0002"", ""name"": ""add_address_to_user_tab_v2"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""90b995bf917fa9c7f9d3f7d0f4bba21d10663e52""}, ""backward"": {""id"": ""9e141cec6abc314a1add78bd860948cf3877f93d""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""9cc8ba15615fb5a2b0c202135de89eb811f6109f""}","","2025-10-08 02:20:40"
"6","3","update_succ","{""version"": ""0002"", ""name"": ""add_address_to_user_tab_v2"", ""author"": """", ""type"": ""schema"", ""change"": {""forward"": {""id"": ""90b995bf917fa9c7f9d3f7d0f4bba21d10663e52""}, ""backward"": {""id"": ""9e141cec6abc314a1add78bd860948cf3877f93d""}}, ""dependencies"": [{""version"": ""0001"", ""name"": ""add_address_to_user_tab""}], ""checksum"": ""9cc8ba15615fb5a2b0c202135de89eb811f6109f""}","","2025-10-08 02:20:41"
"7","4","create","{""version"": ""0003"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO user (id,\\name,\\u0007ddress) VALUES (1,'foo','bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM user WHERE id=1;""}}, ""dependencies"": [{""version"": ""0002"", ""name"": ""add_address_to_user_tab_v2""}], ""checksum"": ""ee0d6d24d2dec5ef290e7dd3b5929a8f79870562""}","","2025-10-08 02:22:14"
"8","4","update_succ","{""version"": ""0003"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`,`name`,`address`) VALUES (1,'foo','bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0002"", ""name"": ""add_address_to_user_tab_v2""}], ""checksum"": ""3bdd1cbda4e94c0606d1e8312413b30838e71412""}","","2025-10-08 02:30:55"
"9","4","update_rollback","{""version"": ""0003"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`,`name`,`address`) VALUES (1,'foo','bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0002"", ""name"": ""add_address_to_user_tab_v2""}], ""checksum"": ""3bdd1cbda4e94c0606d1e8312413b30838e71412""}","","2025-10-08 02:32:03"
"10","4","delete","{""version"": ""0003"", ""name"": ""seed_user_table"", ""author"": """", ""type"": ""data"", ""change"": {""forward"": {""type"": ""sql"", ""sql"": ""INSERT INTO `user` (`id`,`name`,`address`) VALUES (1,'foo','bar');""}, ""backward"": {""type"": ""sql"", ""sql"": ""DELETE FROM `user` WHERE `id`=1;""}}, ""dependencies"": [{""version"": ""0002"", ""name"": ""add_address_to_user_tab_v2""}], ""checksum"": ""3bdd1cbda4e94c0606d1e8312413b30838e71412""}","","2025-10-08 02:32:03"
